Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing
Groundnut,Tamil Nadu,Loamy,6.4,156.1,42.0,121.9,0.73,19.7,446.5,33.0,14,Mixed,78.12,Before sowing
Tomato,Tamil Nadu,Clay,7.0,136.6,20.6,147.9,1.75,21.4,545.5,22.8,6,DAP,108.72,Mid growth
Maize,Andhra Pradesh,Loamy,6.3,122.0,33.0,100.4,1.42,19.2,633.7,25.5,4,Mixed,105.4,Before sowing
Soybean,Andhra Pradesh,Peaty,6.6,142.8,26.0,116.0,1.39,16.4,886.0,22.6,14,DAP,103.76,Mid growth
Tomato,Karnataka,Sandy,5.7,155.9,49.0,136.6,0.96,17.9,947.4,26.6,10,Mixed,78.28,Mid growth
Tomato,Tamil Nadu,Peaty,5.8,119.6,21.0,143.7,0.89,34.9,649.4,27.8,16,DAP,122.32,Mid growth
Wheat,Madhya Pradesh,Silty,6.9,94.8,49.1,134.3,1.91,41.8,878.3,33.8,8,Urea,142.16,Before sowing
Millet,Madhya Pradesh,Sandy,5.7,95.7,21.4,102.8,1.08,23.1,1063.0,25.4,7,Urea,141.44,After sowing
Millet,Madhya Pradesh,Silty,6.2,123.4,24.2,136.2,0.61,44.6,1017.8,23.0,12,DAP,119.28,Mid growth
Sugarcane,Maharashtra,Loamy,5.5,145.2,41.2,131.0,1.66,17.2,686.8,21.7,16,Compost,86.84,After sowing
Potato,Telangana,Clay,7.7,129.9,29.9,84.4,0.97,24.8,983.7,29.6,9,DAP,114.08,After sowing
Cotton,Kerala,Clay,7.7,117.8,23.6,129.9,1.64,31.8,1016.8,27.4,7,DAP,123.76,Pre-harvest
Rice,Karnataka,Peaty,6.8,114.2,20.8,87.6,0.55,34.1,651.5,27.6,6,DAP,126.64,Pre-harvest
Groundnut,Tamil Nadu,Silty,7.8,99.9,32.3,132.9,0.84,17.3,631.8,22.4,14,Urea,138.08,After sowing
Soybean,Gujarat,Clay,7.8,144.6,39.0,141.0,1.71,20.6,1114.0,28.1,11,Compost,87.32,After sowing
Wheat,Karnataka,Loamy,7.5,151.7,29.5,87.7,0.84,27.8,1054.4,32.9,10,DAP,96.64,Pre-harvest
Tomato,Gujarat,Sandy,5.5,120.9,32.5,95.5,0.68,25.1,1154.3,24.8,9,Potash,106.28,Before sowing
Maize,Telangana,Peaty,6.8,136.2,30.9,148.0,1.94,22.6,797.8,24.5,15,Compost,94.04,After sowing
Sugarcane,Karnataka,Silty,6.2,83.0,38.3,115.2,0.58,23.4,1126.6,23.6,15,Urea,151.6,Mid growth
Soybean,Andhra Pradesh,Silty,5.9,119.2,49.6,96.9,1.51,37.8,590.1,30.9,12,Potash,107.64,Mid growth
Potato,Maharashtra,Clay,6.4,130.6,39.0,117.5,0.64,40.1,656.6,22.8,8,Mixed,98.52,Pre-harvest
Cotton,Madhya Pradesh,Silty,5.6,127.3,40.3,81.2,1.27,21.8,916.1,22.6,6,Potash,101.16,Before sowing
Sugarcane,Maharashtra,Silty,7.2,110.9,48.1,89.6,1.01,18.4,1139.8,33.2,6,Potash,114.28,Before sowing
Groundnut,Kerala,Clay,6.1,132.8,44.5,118.9,1.29,22.3,474.5,33.5,11,Mixed,96.76,Pre-harvest
Soybean,Kerala,Sandy,7.8,130.6,30.2,104.4,1.59,41.9,1109.7,31.7,10,Compost,98.52,Mid growth
Potato,Maharashtra,Clay,7.1,86.7,24.8,142.9,1.41,15.3,481.2,30.0,15,Urea,148.64,After sowing
Potato,Kerala,Silty,5.5,92.9,36.5,128.4,1.48,21.7,969.7,23.6,13,Urea,143.68,Pre-harvest
Cotton,Telangana,Silty,6.3,139.7,39.5,139.4,1.49,32.0,474.9,25.5,16,Mixed,91.24,After sowing
Maize,Gujarat,Loamy,6.2,99.5,49.2,107.5,1.84,33.9,1035.8,27.5,11,Urea,138.4,Mid growth
Soybean,Tamil Nadu,Clay,6.9,119.4,25.9,130.6,0.92,15.7,916.4,22.7,15,DAP,122.48,Before sowing
Tomato,Karnataka,Silty,7.9,156.3,47.4,105.9,0.52,42.8,742.5,34.5,6,Mixed,77.96,Before sowing
Maize,Gujarat,Peaty,7.9,148.2,28.8,107.0,1.78,24.5,535.6,28.4,4,DAP,99.44,Mid growth
Sugarcane,Maharashtra,Loamy,7.8,135.7,37.1,86.8,1.42,44.7,512.1,27.8,9,Potash,94.44,After sowing
Maize,Gujarat,Silty,7.7,139.3,40.9,129.2,1.04,23.8,1047.5,32.2,4,Mixed,91.56,Pre-harvest
Maize,Telangana,Loamy,7.7,153.1,35.3,115.1,1.7,34.5,961.6,31.9,4,Compost,80.52,Before sowing
Groundnut,Madhya Pradesh,Sandy,7.7,107.0,31.3,86.6,1.37,16.1,772.5,28.1,8,Potash,117.4,Before sowing
Millet,Madhya Pradesh,Silty,6.2,127.3,20.9,82.6,1.73,25.8,501.6,27.8,12,DAP,116.16,Pre-harvest
Groundnut,Madhya Pradesh,Silty,7.4,97.3,38.7,86.0,0.58,30.9,832.5,29.6,10,Urea,140.16,After sowing
Rice,Kerala,Sandy,7.3,158.1,35.5,102.6,1.69,23.1,751.2,21.2,6,Compost,76.52,After sowing
Cotton,Maharashtra,Clay,5.6,157.0,45.1,128.7,1.11,20.2,525.1,23.8,9,Mixed,77.4,Mid growth
Rice,Andhra Pradesh,Clay,6.9,137.2,39.8,99.6,1.93,37.1,843.5,29.2,13,Potash,93.24,Before sowing
Rice,Madhya Pradesh,Silty,6.5,99.8,30.7,133.0,0.52,18.5,436.8,20.6,8,Urea,138.16,After sowing
Tomato,Gujarat,Peaty,7.6,136.3,34.2,86.8,1.24,29.2,538.6,26.5,14,Potash,93.96,Before sowing
Wheat,Madhya Pradesh,Peaty,6.5,129.3,39.1,83.2,1.06,33.8,802.5,32.8,9,Potash,99.56,Mid growth
Rice,Telangana,Clay,7.1,93.0,22.1,125.0,0.54,32.6,1152.2,28.6,7,Urea,143.6,Before sowing
Sugarcane,Andhra Pradesh,Clay,6.5,131.5,33.7,118.2,1.91,26.6,1169.0,33.6,15,Compost,97.8,Pre-harvest
Soybean,Maharashtra,Sandy,6.0,85.5,23.0,81.3,0.64,35.5,457.0,24.8,5,Urea,149.6,Mid growth
Tomato,Gujarat,Peaty,7.6,81.9,44.4,99.7,0.68,35.9,903.2,33.2,10,Urea,152.48,Before sowing
Maize,Gujarat,Sandy,7.3,144.3,28.5,92.4,1.63,39.2,1192.4,26.2,14,DAP,102.56,Pre-harvest
Groundnut,Kerala,Peaty,6.4,142.1,30.2,145.2,1.79,27.9,1000.7,31.3,12,Compost,89.32,Pre-harvest
Potato,Telangana,Peaty,5.8,152.2,35.2,137.9,0.98,41.9,711.4,20.2,9,Mixed,81.24,Pre-harvest
Soybean,Gujarat,Clay,7.8,87.3,29.6,146.5,1.93,32.2,905.5,26.7,12,Urea,148.16,Mid growth
Cotton,Maharashtra,Loamy,6.2,106.3,40.2,132.7,1.69,38.7,473.0,27.4,12,Compost,117.96,Pre-harvest
Tomato,Karnataka,Loamy,5.6,124.0,33.2,142.1,1.03,18.5,514.4,31.4,16,Mixed,103.8,Pre-harvest
Millet,Madhya Pradesh,Loamy,7.0,88.1,22.5,129.1,0.61,39.7,965.0,21.2,6,Urea,147.52,Before sowing
Cotton,Kerala,Silty,5.7,158.9,31.2,105.9,1.72,43.4,1188.8,31.3,9,Compost,75.88,After sowing
Tomato,Tamil Nadu,Silty,6.4,86.7,43.3,119.1,1.14,42.2,489.0,27.4,9,Urea,148.64,Pre-harvest
Cotton,Telangana,Peaty,5.5,117.5,21.7,88.3,0.68,34.5,996.8,28.8,16,DAP,124.0,Before sowing
Tomato,Gujarat,Silty,7.9,110.0,28.6,140.8,0.84,43.9,409.7,34.5,6,DAP,130.0,After sowing
Groundnut,Maharashtra,Peaty,5.6,151.3,35.8,149.5,0.61,31.6,1175.4,27.8,4,Mixed,81.96,After sowing
Millet,Telangana,Silty,7.1,135.7,33.6,123.9,1.38,42.0,436.4,24.2,10,Mixed,94.44,Mid growth
Potato,Madhya Pradesh,Sandy,7.9,151.2,33.7,123.4,0.92,20.6,771.0,25.3,6,Mixed,82.04,Mid growth
Soybean,Tamil Nadu,Clay,7.0,86.2,49.2,149.0,1.55,31.1,647.6,32.2,10,Urea,149.04,Before sowing
Groundnut,Maharashtra,Sandy,7.2,93.0,47.3,137.6,1.92,36.8,890.7,26.3,10,Urea,143.6,Mid growth
Tomato,Maharashtra,Loamy,7.8,149.3,21.4,81.8,1.06,39.3,1189.8,22.3,11,DAP,98.56,Mid growth
Tomato,Telangana,Peaty,7.0,110.5,49.1,138.9,1.76,29.1,731.9,24.1,15,Compost,114.6,After sowing
Soybean,Maharashtra,Sandy,5.6,149.2,44.4,150.0,1.99,31.7,1015.2,34.2,11,Compost,83.64,Before sowing
